"","bat1","bat2","dyad","known.kinship","wang_estimate","kinship","pop1","pop2","kinship2"
"1","cc","c","c_cc",NA,0.0519,0.0519,"tole","tole",0.0519
"2","ccc","c","c_ccc",NA,0.4087,0.4087,"tole","tole",0.4087
"3","ccs","c","c_ccs",NA,0.2382,0.2382,"tole","tole",0.2382
"4","cd","c","c_cd",NA,0.1702,0.1702,"tole","tole",0.1702
"5","cs","c","c_cs",NA,-0.0118,-0.0118,"tole","tole",0
"6","csc","c","c_csc",NA,0.4258,0.4258,"tole","tole",0.4258
"7","d","c","c_d",NA,0.1572,0.1572,"tole","tole",0.1572
"8","dcd","c","c_dcd",NA,0.2001,0.2001,"tole","tole",0.2001
"9","dd","c","c_dd",NA,0.261,0.261,"tole","tole",0.261
"10","ddld","c","c_ddld",NA,-0.0834,-0.0834,"tole","tole",0
"11","ivy","c","c_ivy",0,0.1983,0,"bci","tole",0
"12","dld","c","c_dld",NA,0.0923,0.0923,"tole","tole",0.0923
"13","una","c","c_una",0,-0.1462,0,"bci","tole",0
"14","tes","c","c_tes",0,-0.078,0,"bci","tole",0
"15","son.of.ola","c","c_son.of.ola",0,-0.0931,0,"bci","tole",0
"16","dr","c","c_dr",NA,0.1014,0.1014,"tole","tole",0.1014
"17","ds","c","c_ds",NA,0.0928,0.0928,"tole","tole",0.0928
"18","female10","c","c_female10",NA,0.3142,0.3142,"tole","tole",0.3142
"19","female12","c","c_female12",NA,0.2754,0.2754,"tole","tole",0.2754
"20","female13","c","c_female13",NA,0.1139,0.1139,"tole","tole",0.1139
"21","female14","c","c_female14",NA,0.2783,0.2783,"tole","tole",0.2783
"22","female15","c","c_female15",NA,0.1156,0.1156,"tole","tole",0.1156
"23","female16","c","c_female16",NA,0.2294,0.2294,"tole","tole",0.2294
"24","female17","c","c_female17",NA,-0.0896,-0.0896,"tole","tole",0
"25","female18","c","c_female18",NA,-0.0753,-0.0753,"tole","tole",0
"26","female19","c","c_female19",NA,0.1837,0.1837,"tole","tole",0.1837
"27","female5","c","c_female5",NA,0.1339,0.1339,"tole","tole",0.1339
"28","female6","c","c_female6",NA,0.3973,0.3973,"tole","tole",0.3973
"29","female7","c","c_female7",NA,0.1986,0.1986,"tole","tole",0.1986
"30","female8","c","c_female8",NA,0.2609,0.2609,"tole","tole",0.2609
"31","female9","c","c_female9",NA,0.1478,0.1478,"tole","tole",0.1478
"32","hilga","c","c_hilga",NA,-0.0492,-0.0492,"tole","tole",0
"33","ld","c","c_ld",NA,-0.1624,-0.1624,"tole","tole",0
"34","ldc","c","c_ldc",NA,0.1429,0.1429,"tole","tole",0.1429
"35","ldd","c","c_ldd",NA,-0.0306,-0.0306,"tole","tole",0
"36","lds","c","c_lds",NA,0.0161,0.0161,"tole","tole",0.0161
"37","lsd","c","c_lsd",NA,0.1189,0.1189,"tole","tole",0.1189
"38","cat","c","c_cat",0,-0.0567,0,"bci","tole",0
"39","male16","c","c_male16",NA,-0.0799,-0.0799,"tole","tole",0
"40","male18","c","c_male18",NA,0.3466,0.3466,"tole","tole",0.3466
"41","male19","c","c_male19",NA,0.1108,0.1108,"tole","tole",0.1108
"42","male20","c","c_male20",NA,0.3201,0.3201,"tole","tole",0.3201
"43","male21","c","c_male21",NA,0.0395,0.0395,"tole","tole",0.0395
"44","male25","c","c_male25",NA,0.1119,0.1119,"tole","tole",0.1119
"45","male26","c","c_male26",NA,0.2145,0.2145,"tole","tole",0.2145
"46","male27","c","c_male27",NA,0.2915,0.2915,"tole","tole",0.2915
"47","male30","c","c_male30",NA,0.0102,0.0102,"tole","tole",0.0102
"48","male31","c","c_male31",NA,0.2044,0.2044,"tole","tole",0.2044
"49","male32","c","c_male32",NA,0.0862,0.0862,"tole","tole",0.0862
"50","male33","c","c_male33",NA,0.1839,0.1839,"tole","tole",0.1839
"51","male35","c","c_male35",NA,0.2884,0.2884,"tole","tole",0.2884
"52","male36","c","c_male36",NA,0.1729,0.1729,"tole","tole",0.1729
"53","male37","c","c_male37",NA,0.1801,0.1801,"tole","tole",0.1801
"54","male38","c","c_male38",NA,0.0854,0.0854,"tole","tole",0.0854
"55","male39","c","c_male39",NA,0.0972,0.0972,"tole","tole",0.0972
"56","pup0","c","c_pup0",NA,0.2671,0.2671,"tole","tole",0.2671
"57","r","c","c_r",NA,-0.1041,-0.1041,"tole","tole",0
"58","rc","c","c_rc",NA,0.2335,0.2335,"tole","tole",0.2335
"59","s","c","c_s",NA,0.0124,0.0124,"tole","tole",0.0124
"60","sc","c","c_sc",NA,0.2568,0.2568,"tole","tole",0.2568
"61","scs","c","c_scs",NA,0.2765,0.2765,"tole","tole",0.2765
"62","sd","c","c_sd",NA,0.0683,0.0683,"tole","tole",0.0683
"63","six","c","c_six",0,-0.0686,0,"bci","tole",0
"64","sld","c","c_sld",NA,0.4836,0.4836,"tole","tole",0.4836
"65","dos","c","c_dos",0,-0.0442,0,"bci","tole",0
"66","ola","c","c_ola",0,-0.103,0,"bci","tole",0
"67","ss","c","c_ss",NA,0.2406,0.2406,"tole","tole",0.2406
"68","sss","c","c_sss",NA,0.1121,0.1121,"tole","tole",0.1121
"69","eve","c","c_eve",0,0.2124,0,"bci","tole",0
"70","no.band","c","c_no.band",NA,NA,0,"bci","tole",0
"71","ddd","c","c_ddd",NA,NA,0,"bci","tole",0
"72","bat9530","c","bat9530_c",NA,-0.0213,-0.0213,"tole","tole",0
"73","bat9532","c","bat9532_c",NA,0.0964,0.0964,"tole","tole",0.0964
"74","bat9533","c","bat9533_c",NA,-0.0263,-0.0263,"tole","tole",0
"75","bat9535","c","bat9535_c",NA,-0.1228,-0.1228,"tole","tole",0
"76","bat9536","c","bat9536_c",NA,-0.1952,-0.1952,"tole","tole",0
"77","bat9537","c","bat9537_c",NA,0.2164,0.2164,"tole","tole",0.2164
"78","bat9538","c","bat9538_c",NA,0.305,0.305,"tole","tole",0.305
"79","bat9539","c","bat9539_c",NA,-0.0566,-0.0566,"tole","tole",0
"80","bat9540","c","bat9540_c",NA,0.2481,0.2481,"tole","tole",0.2481
"81","bat9541","c","bat9541_c",NA,0.1844,0.1844,"tole","tole",0.1844
"82","bat9542","c","bat9542_c",NA,0.3717,0.3717,"tole","tole",0.3717
"83","bat9543","c","bat9543_c",NA,0.1724,0.1724,"tole","tole",0.1724
"84","bat9545","c","bat9545_c",NA,0.1454,0.1454,"tole","tole",0.1454
"85","bat9546","c","bat9546_c",NA,0.022,0.022,"tole","tole",0.022
"86","bat9547","c","bat9547_c",NA,-0.195,-0.195,"tole","tole",0
"87","bat9548","c","bat9548_c",NA,-0.1065,-0.1065,"tole","tole",0
"88","bat9549","c","bat9549_c",NA,0.0424,0.0424,"tole","tole",0.0424
"89","bat9550","c","bat9550_c",NA,0.2109,0.2109,"tole","tole",0.2109
"90","bat9551","c","bat9551_c",NA,0.0259,0.0259,"tole","tole",0.0259
"91","bat9552","c","bat9552_c",NA,0.0762,0.0762,"tole","tole",0.0762
"92","bat9553","c","bat9553_c",NA,0.191,0.191,"tole","tole",0.191
"93","bat9554","c","bat9554_c",NA,-0.0035,-0.0035,"tole","tole",0
"94","bat9555","c","bat9555_c",NA,0.2602,0.2602,"tole","tole",0.2602
"95","bat9556","c","bat9556_c",NA,0.0229,0.0229,"tole","tole",0.0229
"96","bat9557","c","bat9557_c",NA,-0.0024,-0.0024,"tole","tole",0
"97","bat9558","c","bat9558_c",NA,-0.018,-0.018,"tole","tole",0
"98","bat9559","c","bat9559_c",NA,0.2514,0.2514,"tole","tole",0.2514
"99","bat9561","c","bat9561_c",NA,0.0896,0.0896,"tole","tole",0.0896
"100","bat9562","c","bat9562_c",NA,-0.1602,-0.1602,"tole","tole",0
"101","bat9563","c","bat9563_c",NA,0.0518,0.0518,"tole","tole",0.0518
"102","bat9564","c","bat9564_c",NA,-0.1023,-0.1023,"tole","tole",0
"103","bat9565","c","bat9565_c",NA,0.0725,0.0725,"tole","tole",0.0725
"104","bat9566","c","bat9566_c",NA,0.1978,0.1978,"tole","tole",0.1978
"105","bat9567","c","bat9567_c",NA,0.173,0.173,"tole","tole",0.173
"106","bat9568","c","bat9568_c",NA,0.3181,0.3181,"tole","tole",0.3181
"107","bat9569","c","bat9569_c",NA,0.1108,0.1108,"tole","tole",0.1108
"108","bat9570","c","bat9570_c",NA,0.2487,0.2487,"tole","tole",0.2487
"109","bat9592","c","bat9592_c",NA,0.0357,0.0357,"tole","tole",0.0357
"110","bat9593","c","bat9593_c",NA,-0.0164,-0.0164,"tole","tole",0
"111","bat9594","c","bat9594_c",NA,0.1878,0.1878,"tole","tole",0.1878
"112","bat9595","c","bat9595_c",NA,0.0597,0.0597,"tole","tole",0.0597
"113","bat9596","c","bat9596_c",NA,0.346,0.346,"tole","tole",0.346
"114","c","cc","c_cc",NA,0.0519,0.0519,"tole","tole",0.0519
"115","ccc","cc","cc_ccc",NA,0.0562,0.0562,"tole","tole",0.0562
"116","ccs","cc","cc_ccs",NA,0.2151,0.2151,"tole","tole",0.2151
"117","cd","cc","cc_cd",NA,0.0079,0.0079,"tole","tole",0.0079
"118","cs","cc","cc_cs",NA,-0.0919,-0.0919,"tole","tole",0
"119","csc","cc","cc_csc",NA,0.1587,0.1587,"tole","tole",0.1587
"120","d","cc","cc_d",NA,0.2982,0.2982,"tole","tole",0.2982
"121","dcd","cc","cc_dcd",NA,0.149,0.149,"tole","tole",0.149
"122","dd","cc","cc_dd",NA,0.0803,0.0803,"tole","tole",0.0803
"123","ddld","cc","cc_ddld",NA,0.0973,0.0973,"tole","tole",0.0973
"124","ivy","cc","cc_ivy",0,-0.0494,0,"bci","tole",0
"125","dld","cc","cc_dld",NA,0.2888,0.2888,"tole","tole",0.2888
"126","una","cc","cc_una",0,-0.0861,0,"bci","tole",0
"127","tes","cc","cc_tes",0,-0.0064,0,"bci","tole",0
"128","son.of.ola","cc","cc_son.of.ola",0,-0.1678,0,"bci","tole",0
"129","dr","cc","cc_dr",NA,-0.2036,-0.2036,"tole","tole",0
"130","ds","cc","cc_ds",NA,0.0626,0.0626,"tole","tole",0.0626
"131","female10","cc","cc_female10",NA,0.1015,0.1015,"tole","tole",0.1015
"132","female12","cc","cc_female12",NA,-0.0648,-0.0648,"tole","tole",0
"133","female13","cc","cc_female13",NA,-0.1793,-0.1793,"tole","tole",0
"134","female14","cc","cc_female14",NA,-0.0201,-0.0201,"tole","tole",0
"135","female15","cc","cc_female15",NA,0.0474,0.0474,"tole","tole",0.0474
"136","female16","cc","cc_female16",NA,-0.1035,-0.1035,"tole","tole",0
"137","female17","cc","cc_female17",NA,-0.0864,-0.0864,"tole","tole",0
"138","female18","cc","cc_female18",NA,-0.1179,-0.1179,"tole","tole",0
"139","female19","cc","cc_female19",NA,-0.0179,-0.0179,"tole","tole",0
"140","female5","cc","cc_female5",NA,0.1751,0.1751,"tole","tole",0.1751
"141","female6","cc","cc_female6",NA,0.058,0.058,"tole","tole",0.058
"142","female7","cc","cc_female7",NA,0.2746,0.2746,"tole","tole",0.2746
"143","female8","cc","cc_female8",NA,0.0722,0.0722,"tole","tole",0.0722
"144","female9","cc","cc_female9",NA,-0.085,-0.085,"tole","tole",0
"145","hilga","cc","cc_hilga",NA,-0.0491,-0.0491,"tole","tole",0
"146","ld","cc","cc_ld",NA,-0.0085,-0.0085,"tole","tole",0
"147","ldc","cc","cc_ldc",0.5,0.6051,0.5,"tole","tole",0.5
"148","ldd","cc","cc_ldd",NA,-0.0241,-0.0241,"tole","tole",0
"149","lds","cc","cc_lds",NA,0.1204,0.1204,"tole","tole",0.1204
"150","lsd","cc","cc_lsd",NA,0.077,0.077,"tole","tole",0.077
"151","cat","cc","cat_cc",0,-0.1619,0,"bci","tole",0
"152","male16","cc","cc_male16",NA,0.1059,0.1059,"tole","tole",0.1059
"153","male18","cc","cc_male18",NA,-0.1273,-0.1273,"tole","tole",0
"154","male19","cc","cc_male19",NA,0.001,0.001,"tole","tole",0.001
"155","male20","cc","cc_male20",NA,0.1162,0.1162,"tole","tole",0.1162
"156","male21","cc","cc_male21",NA,-0.0135,-0.0135,"tole","tole",0
"157","male25","cc","cc_male25",NA,0.016,0.016,"tole","tole",0.016
"158","male26","cc","cc_male26",NA,0.1934,0.1934,"tole","tole",0.1934
"159","male27","cc","cc_male27",NA,0.0288,0.0288,"tole","tole",0.0288
"160","male30","cc","cc_male30",NA,0.0471,0.0471,"tole","tole",0.0471
"161","male31","cc","cc_male31",NA,-0.0335,-0.0335,"tole","tole",0
"162","male32","cc","cc_male32",NA,0.0912,0.0912,"tole","tole",0.0912
"163","male33","cc","cc_male33",NA,0.1144,0.1144,"tole","tole",0.1144
"164","male35","cc","cc_male35",NA,0.1389,0.1389,"tole","tole",0.1389
"165","male36","cc","cc_male36",NA,-0.2012,-0.2012,"tole","tole",0
"166","male37","cc","cc_male37",NA,-0.078,-0.078,"tole","tole",0
"167","male38","cc","cc_male38",NA,0.3629,0.3629,"tole","tole",0.3629
"168","male39","cc","cc_male39",NA,-0.2108,-0.2108,"tole","tole",0
"169","pup0","cc","cc_pup0",NA,-0.3058,-0.3058,"tole","tole",0
"170","r","cc","cc_r",NA,0.13,0.13,"tole","tole",0.13
"171","rc","cc","cc_rc",NA,-0.1306,-0.1306,"tole","tole",0
"172","s","cc","cc_s",NA,0.216,0.216,"tole","tole",0.216
"173","sc","cc","cc_sc",NA,0.0287,0.0287,"tole","tole",0.0287
"174","scs","cc","cc_scs",NA,-0.1401,-0.1401,"tole","tole",0
"175","sd","cc","cc_sd",NA,-0.0798,-0.0798,"tole","tole",0
"176","six","cc","cc_six",0,-0.2397,0,"bci","tole",0
"177","sld","cc","cc_sld",NA,-0.2765,-0.2765,"tole","tole",0
"178","dos","cc","cc_dos",0,-0.1024,0,"bci","tole",0
"179","ola","cc","cc_ola",0,-0.0901,0,"bci","tole",0
"180","ss","cc","cc_ss",NA,0.1173,0.1173,"tole","tole",0.1173
"181","sss","cc","cc_sss",NA,-0.1068,-0.1068,"tole","tole",0
"182","eve","cc","cc_eve",0,-0.2491,0,"bci","tole",0
"183","no.band","cc","cc_no.band",NA,NA,0,"bci","tole",0
"184","ddd","cc","cc_ddd",NA,NA,0,"bci","tole",0
"185","bat9530","cc","bat9530_cc",NA,0.0051,0.0051,"tole","tole",0.0051
"186","bat9532","cc","bat9532_cc",NA,0.1268,0.1268,"tole","tole",0.1268
"187","bat9533","cc","bat9533_cc",NA,-0.1118,-0.1118,"tole","tole",0
"188","bat9535","cc","bat9535_cc",NA,-0.219,-0.219,"tole","tole",0
"189","bat9536","cc","bat9536_cc",NA,-0.0951,-0.0951,"tole","tole",0
"190","bat9537","cc","bat9537_cc",NA,0.2063,0.2063,"tole","tole",0.2063
"191","bat9538","cc","bat9538_cc",NA,0.2791,0.2791,"tole","tole",0.2791
"192","bat9539","cc","bat9539_cc",NA,-0.3774,-0.3774,"tole","tole",0
"193","bat9540","cc","bat9540_cc",NA,0.0442,0.0442,"tole","tole",0.0442
"194","bat9541","cc","bat9541_cc",NA,0.3455,0.3455,"tole","tole",0.3455
"195","bat9542","cc","bat9542_cc",NA,0.0966,0.0966,"tole","tole",0.0966
"196","bat9543","cc","bat9543_cc",NA,-0.0163,-0.0163,"tole","tole",0
"197","bat9545","cc","bat9545_cc",NA,-0.1756,-0.1756,"tole","tole",0
"198","bat9546","cc","bat9546_cc",NA,-0.2224,-0.2224,"tole","tole",0
"199","bat9547","cc","bat9547_cc",NA,-0.0711,-0.0711,"tole","tole",0
"200","bat9548","cc","bat9548_cc",NA,0.0115,0.0115,"tole","tole",0.0115
"201","bat9549","cc","bat9549_cc",NA,0.1463,0.1463,"tole","tole",0.1463
"202","bat9550","cc","bat9550_cc",NA,0.11,0.11,"tole","tole",0.11
"203","bat9551","cc","bat9551_cc",NA,-0.0358,-0.0358,"tole","tole",0
"204","bat9552","cc","bat9552_cc",NA,0.0219,0.0219,"tole","tole",0.0219
"205","bat9553","cc","bat9553_cc",NA,0.2475,0.2475,"tole","tole",0.2475
"206","bat9554","cc","bat9554_cc",NA,-0.2354,-0.2354,"tole","tole",0
"207","bat9555","cc","bat9555_cc",NA,-0.0599,-0.0599,"tole","tole",0
"208","bat9556","cc","bat9556_cc",NA,0.2064,0.2064,"tole","tole",0.2064
"209","bat9557","cc","bat9557_cc",NA,0.1765,0.1765,"tole","tole",0.1765
"210","bat9558","cc","bat9558_cc",NA,-0.0635,-0.0635,"tole","tole",0
"211","bat9559","cc","bat9559_cc",NA,0.1723,0.1723,"tole","tole",0.1723
"212","bat9561","cc","bat9561_cc",NA,0.1461,0.1461,"tole","tole",0.1461
"213","bat9562","cc","bat9562_cc",NA,-0.0146,-0.0146,"tole","tole",0
"214","bat9563","cc","bat9563_cc",NA,-0.1152,-0.1152,"tole","tole",0
"215","bat9564","cc","bat9564_cc",NA,0.2253,0.2253,"tole","tole",0.2253
"216","bat9565","cc","bat9565_cc",NA,0.0135,0.0135,"tole","tole",0.0135
"217","bat9566","cc","bat9566_cc",NA,0.4034,0.4034,"tole","tole",0.4034
"218","bat9567","cc","bat9567_cc",NA,0.1519,0.1519,"tole","tole",0.1519
"219","bat9568","cc","bat9568_cc",NA,0.0099,0.0099,"tole","tole",0.0099
"220","bat9569","cc","bat9569_cc",NA,-0.0614,-0.0614,"tole","tole",0
"221","bat9570","cc","bat9570_cc",NA,0.0355,0.0355,"tole","tole",0.0355
"222","bat9592","cc","bat9592_cc",NA,0.0862,0.0862,"tole","tole",0.0862
"223","bat9593","cc","bat9593_cc",NA,-0.0265,-0.0265,"tole","tole",0
"224","bat9594","cc","bat9594_cc",NA,0.1003,0.1003,"tole","tole",0.1003
"225","bat9595","cc","bat9595_cc",NA,-0.066,-0.066,"tole","tole",0
"226","bat9596","cc","bat9596_cc",NA,-0.0737,-0.0737,"tole","tole",0
"227","c","ccc","c_ccc",NA,0.4087,0.4087,"tole","tole",0.4087
"228","cc","ccc","cc_ccc",NA,0.0562,0.0562,"tole","tole",0.0562
"229","ccs","ccc","ccc_ccs",NA,0.1501,0.1501,"tole","tole",0.1501
"230","cd","ccc","ccc_cd",NA,0.147,0.147,"tole","tole",0.147
"231","cs","ccc","ccc_cs",NA,-0.0918,-0.0918,"tole","tole",0
"232","csc","ccc","ccc_csc",NA,0.2639,0.2639,"tole","tole",0.2639
"233","d","ccc","ccc_d",NA,0.3487,0.3487,"tole","tole",0.3487
"234","dcd","ccc","ccc_dcd",NA,0.2488,0.2488,"tole","tole",0.2488
"235","dd","ccc","ccc_dd",NA,0.2064,0.2064,"tole","tole",0.2064
"236","ddld","ccc","ccc_ddld",NA,0.1677,0.1677,"tole","tole",0.1677
"237","ivy","ccc","ccc_ivy",0,-0.0539,0,"bci","tole",0
"238","dld","ccc","ccc_dld",NA,0.3649,0.3649,"tole","tole",0.3649
"239","una","ccc","ccc_una",0,0.0122,0,"bci","tole",0
"240","tes","ccc","ccc_tes",0,0.0213,0,"bci","tole",0
"241","son.of.ola","ccc","ccc_son.of.ola",0,-0.0139,0,"bci","tole",0
"242","dr","ccc","ccc_dr",NA,-0.1925,-0.1925,"tole","tole",0
"243","ds","ccc","ccc_ds",NA,-0.0969,-0.0969,"tole","tole",0
"244","female10","ccc","ccc_female10",NA,0.2919,0.2919,"tole","tole",0.2919
"245","female12","ccc","ccc_female12",NA,-0.0162,-0.0162,"tole","tole",0
"246","female13","ccc","ccc_female13",NA,0.1329,0.1329,"tole","tole",0.1329
"247","female14","ccc","ccc_female14",NA,-0.0474,-0.0474,"tole","tole",0
"248","female15","ccc","ccc_female15",NA,-0.051,-0.051,"tole","tole",0
"249","female16","ccc","ccc_female16",NA,0.0496,0.0496,"tole","tole",0.0496
"250","female17","ccc","ccc_female17",NA,0.0536,0.0536,"tole","tole",0.0536
"251","female18","ccc","ccc_female18",NA,0.0218,0.0218,"tole","tole",0.0218
"252","female19","ccc","ccc_female19",NA,0.0924,0.0924,"tole","tole",0.0924
"253","female5","ccc","ccc_female5",NA,-0.0055,-0.0055,"tole","tole",0
"254","female6","ccc","ccc_female6",NA,0.4262,0.4262,"tole","tole",0.4262
"255","female7","ccc","ccc_female7",NA,0.1519,0.1519,"tole","tole",0.1519
"256","female8","ccc","ccc_female8",NA,0.2747,0.2747,"tole","tole",0.2747
"257","female9","ccc","ccc_female9",NA,0.1285,0.1285,"tole","tole",0.1285
"258","hilga","ccc","ccc_hilga",NA,-0.109,-0.109,"tole","tole",0
"259","ld","ccc","ccc_ld",NA,-0.1128,-0.1128,"tole","tole",0
"260","ldc","ccc","ccc_ldc",NA,0.018,0.018,"tole","tole",0.018
"261","ldd","ccc","ccc_ldd",NA,0.1777,0.1777,"tole","tole",0.1777
"262","lds","ccc","ccc_lds",NA,0.0194,0.0194,"tole","tole",0.0194
"263","lsd","ccc","ccc_lsd",NA,-0.0644,-0.0644,"tole","tole",0
"264","cat","ccc","cat_ccc",0,-0.0637,0,"bci","tole",0
"265","male16","ccc","ccc_male16",NA,-0.0193,-0.0193,"tole","tole",0
"266","male18","ccc","ccc_male18",NA,0.1686,0.1686,"tole","tole",0.1686
"267","male19","ccc","ccc_male19",NA,0.2195,0.2195,"tole","tole",0.2195
"268","male20","ccc","ccc_male20",NA,0.3549,0.3549,"tole","tole",0.3549
"269","male21","ccc","ccc_male21",NA,-0.0688,-0.0688,"tole","tole",0
"270","male25","ccc","ccc_male25",NA,-0.0675,-0.0675,"tole","tole",0
"271","male26","ccc","ccc_male26",NA,0.0749,0.0749,"tole","tole",0.0749
"272","male27","ccc","ccc_male27",NA,0.0035,0.0035,"tole","tole",0.0035
"273","male30","ccc","ccc_male30",NA,0.0868,0.0868,"tole","tole",0.0868
"274","male31","ccc","ccc_male31",NA,0.1861,0.1861,"tole","tole",0.1861
"275","male32","ccc","ccc_male32",NA,0.2501,0.2501,"tole","tole",0.2501
"276","male33","ccc","ccc_male33",NA,0.1227,0.1227,"tole","tole",0.1227
"277","male35","ccc","ccc_male35",NA,0.3999,0.3999,"tole","tole",0.3999
"278","male36","ccc","ccc_male36",NA,0.057,0.057,"tole","tole",0.057
"279","male37","ccc","ccc_male37",NA,0.146,0.146,"tole","tole",0.146
"280","male38","ccc","ccc_male38",NA,0.0597,0.0597,"tole","tole",0.0597
"281","male39","ccc","ccc_male39",NA,0.0377,0.0377,"tole","tole",0.0377
"282","pup0","ccc","ccc_pup0",NA,0.0055,0.0055,"tole","tole",0.0055
"283","r","ccc","ccc_r",NA,-0.0196,-0.0196,"tole","tole",0
"284","rc","ccc","ccc_rc",NA,0.0753,0.0753,"tole","tole",0.0753
"285","s","ccc","ccc_s",NA,0.2104,0.2104,"tole","tole",0.2104
"286","sc","ccc","ccc_sc",NA,0.2074,0.2074,"tole","tole",0.2074
"287","scs","ccc","ccc_scs",NA,0.1531,0.1531,"tole","tole",0.1531
"288","sd","ccc","ccc_sd",NA,-0.4354,-0.4354,"tole","tole",0
"289","six","ccc","ccc_six",0,-0.2291,0,"bci","tole",0
"290","sld","ccc","ccc_sld",0.5,0.6877,0.5,"tole","tole",0.5
"291","dos","ccc","ccc_dos",0,-0.1134,0,"bci","tole",0
"292","ola","ccc","ccc_ola",0,0.0349,0,"bci","tole",0
"293","ss","ccc","ccc_ss",NA,0.181,0.181,"tole","tole",0.181
"294","sss","ccc","ccc_sss",NA,0.1588,0.1588,"tole","tole",0.1588
"295","eve","ccc","ccc_eve",0,-0.1825,0,"bci","tole",0
"296","no.band","ccc","ccc_no.band",NA,NA,0,"bci","tole",0
"297","ddd","ccc","ccc_ddd",NA,NA,0,"bci","tole",0
"298","bat9530","ccc","bat9530_ccc",NA,-0.0593,-0.0593,"tole","tole",0
"299","bat9532","ccc","bat9532_ccc",NA,0.0944,0.0944,"tole","tole",0.0944
"300","bat9533","ccc","bat9533_ccc",NA,0.0084,0.0084,"tole","tole",0.0084
"301","bat9535","ccc","bat9535_ccc",NA,-0.0706,-0.0706,"tole","tole",0
"302","bat9536","ccc","bat9536_ccc",NA,-0.1653,-0.1653,"tole","tole",0
"303","bat9537","ccc","bat9537_ccc",NA,0.1503,0.1503,"tole","tole",0.1503
"304","bat9538","ccc","bat9538_ccc",NA,0.1773,0.1773,"tole","tole",0.1773
"305","bat9539","ccc","bat9539_ccc",NA,0.115,0.115,"tole","tole",0.115
"306","bat9540","ccc","bat9540_ccc",NA,0.1932,0.1932,"tole","tole",0.1932
"307","bat9541","ccc","bat9541_ccc",NA,0.1628,0.1628,"tole","tole",0.1628
"308","bat9542","ccc","bat9542_ccc",NA,0.0732,0.0732,"tole","tole",0.0732
"309","bat9543","ccc","bat9543_ccc",NA,0.1453,0.1453,"tole","tole",0.1453
"310","bat9545","ccc","bat9545_ccc",NA,0.0312,0.0312,"tole","tole",0.0312
"311","bat9546","ccc","bat9546_ccc",NA,0.3961,0.3961,"tole","tole",0.3961
"312","bat9547","ccc","bat9547_ccc",NA,-0.2824,-0.2824,"tole","tole",0
"313","bat9548","ccc","bat9548_ccc",NA,-0.1323,-0.1323,"tole","tole",0
"314","bat9549","ccc","bat9549_ccc",NA,0.0816,0.0816,"tole","tole",0.0816
"315","bat9550","ccc","bat9550_ccc",NA,0.2433,0.2433,"tole","tole",0.2433
"316","bat9551","ccc","bat9551_ccc",NA,0.0648,0.0648,"tole","tole",0.0648
"317","bat9552","ccc","bat9552_ccc",NA,0.2018,0.2018,"tole","tole",0.2018
"318","bat9553","ccc","bat9553_ccc",NA,0.3228,0.3228,"tole","tole",0.3228
"319","bat9554","ccc","bat9554_ccc",NA,0.0142,0.0142,"tole","tole",0.0142
"320","bat9555","ccc","bat9555_ccc",NA,0.1461,0.1461,"tole","tole",0.1461
"321","bat9556","ccc","bat9556_ccc",NA,-0.0831,-0.0831,"tole","tole",0
"322","bat9557","ccc","bat9557_ccc",NA,0.1922,0.1922,"tole","tole",0.1922
"323","bat9558","ccc","bat9558_ccc",NA,0.23,0.23,"tole","tole",0.23
"324","bat9559","ccc","bat9559_ccc",NA,0.4106,0.4106,"tole","tole",0.4106
"325","bat9561","ccc","bat9561_ccc",NA,0.117,0.117,"tole","tole",0.117
"326","bat9562","ccc","bat9562_ccc",NA,-0.0273,-0.0273,"tole","tole",0
"327","bat9563","ccc","bat9563_ccc",NA,0.0482,0.0482,"tole","tole",0.0482
"328","bat9564","ccc","bat9564_ccc",NA,0.0634,0.0634,"tole","tole",0.0634
"329","bat9565","ccc","bat9565_ccc",NA,0.0466,0.0466,"tole","tole",0.0466
"330","bat9566","ccc","bat9566_ccc",NA,0.2704,0.2704,"tole","tole",0.2704
"331","bat9567","ccc","bat9567_ccc",NA,0.0344,0.0344,"tole","tole",0.0344
"332","bat9568","ccc","bat9568_ccc",NA,0.0018,0.0018,"tole","tole",0.0018
"333","bat9569","ccc","bat9569_ccc",NA,-0.2171,-0.2171,"tole","tole",0
"334","bat9570","ccc","bat9570_ccc",NA,0.0673,0.0673,"tole","tole",0.0673
"335","bat9592","ccc","bat9592_ccc",NA,0.1419,0.1419,"tole","tole",0.1419
"336","bat9593","ccc","bat9593_ccc",NA,-0.0012,-0.0012,"tole","tole",0
"337","bat9594","ccc","bat9594_ccc",NA,0.1631,0.1631,"tole","tole",0.1631
"338","bat9595","ccc","bat9595_ccc",NA,0.1032,0.1032,"tole","tole",0.1032
"339","bat9596","ccc","bat9596_ccc",NA,0.1973,0.1973,"tole","tole",0.1973
"340","c","ccs","c_ccs",NA,0.2382,0.2382,"tole","tole",0.2382
"341","cc","ccs","cc_ccs",NA,0.2151,0.2151,"tole","tole",0.2151
"342","ccc","ccs","ccc_ccs",NA,0.1501,0.1501,"tole","tole",0.1501
"343","cd","ccs","ccs_cd",NA,0.3245,0.3245,"tole","tole",0.3245
"344","cs","ccs","ccs_cs",NA,0.2818,0.2818,"tole","tole",0.2818
